"project","num_forks","num_files","project_age","num_stars","ratio_old_volunteers","fork_entropy","num_integrated_commits","num_forks_rq2","num_files_rq2","ratio_old_volunteers_rq2","ratio_prs_with_tests","ratio_prs_with_hot_files","fork_entropy_rq2","num_closed_prs","ratio_merged_prs","num_bug_report_issues"
"angular/angular.js",38,442,2429,44310,0,0.26109559426462,15,23,58,0,0.321428571428571,0.857142857142857,0.350374881235713,28,0.214285714285714,11
"angular/angular.js",40,121,2459,45303,0,0.31409722971761,16,17,53,0,0.19047619047619,0.904761904761905,0.421082037699265,21,0.142857142857143,20
"angular/angular.js",23,289,2490,46056,0,0.325934879851786,8,14,13,0,0.0666666666666667,0.866666666666667,0.637082797581649,15,0.133333333333333,13
"angular/angular.js",33,162,2520,46845,0,0.283956771816281,11,15,25,0,0.315789473684211,0.684210526315789,0.606286228728729,17,0,22
"angular/angular.js",26,288,2551,47482,0,0.281171416031571,18,14,27,0,0.5,0.666666666666667,0.604889607788729,18,0.111111111111111,20
"angular/angular.js",28,228,2582,48094,0,0.329240922578796,17,14,97,0,0.291666666666667,0.958333333333333,0.585909747393636,24,0,15
"angular/angular.js",37,133,2610,48721,0,0.458570075289232,21,20,108,0,0.173913043478261,0.869565217391304,0.410082659195725,22,0.136363636363636,18
"angular/angular.js",28,267,2641,49328,0,0.330026193001143,9,15,15,0,0.2,0.933333333333333,0.576630545463395,14,0.285714285714286,9
"angular/angular.js",20,49,2671,49810,0,0.565537435769498,6,14,21,0,0.2,0.666666666666667,0.591714948783975,14,0.0714285714285714,9
"angular/angular.js",22,367,2702,50333,0,0.289089726405497,6,9,15,0,0.555555555555556,1,0.754299791480032,9,0.111111111111111,4
"angular/angular.js",20,66,2732,50872,0,0.571161524610181,8,8,13,0,0.375,0.875,0.785253029731591,8,0.125,4
"angular/angular.js",12,552,2763,51376,0,0.589537593866833,8,5,8,0,0.166666666666667,0.333333333333333,0.668580214686589,6,0,14
"angular/angular.js",16,390,2794,51870,0,0.409605419689793,4,5,4,0,0,0.4,0.600314659893115,5,0.2,8
"angular/angular.js",15,102,2824,52325,0,0.679747905171141,7,6,14,0,0.571428571428571,0.571428571428571,0.789683061393743,6,0.166666666666667,8
"angular/angular.js",17,61,2855,52727,0,0.773903334999537,19,7,10,0,0.571428571428571,0.714285714285714,0.837220460436364,7,0.571428571428571,7
"angular/angular.js",8,39,2885,53102,0,0.585140600799087,4,2,2,0,0,1,0.490842180555633,2,0.5,3
"angular/angular.js",13,113,2916,53399,0,0.425372219892713,1,4,4,0,0,0.4,0.691698884376684,5,0.2,5
"angular/angular.js",12,70,2947,53791,0,0.659836425258443,1,2,2,0,0,0,0.458957500688051,1,0,3
"angular/angular.js",9,70,2975,54110,0,0.68140845834472,4,4,65,0,0.25,0.25,0.494959751321317,4,0.25,3
"angular/angular.js",6,24,3006,54427,0,0.596472302781799,0,3,3,0,0,0,0.631509445684852,3,0,5
"angular/angular.js",12,552,3128,55809,0,0.65585579875799,2,4,10,0,0.25,0.5,0.743776616450942,4,0,5
"angular/angular.js",11,39,3159,56100,0,0.664501805447013,4,5,262,0,0.2,0.2,0.327857923174182,5,0.2,2
"angular/angular.js",12,35,3189,56386,0,0.581470004182161,3,4,4,0,0,0.25,0.67763779374392,4,0,4
"angular/angular.js",11,78,3220,56607,0,0.658136270672741,1,5,6,0,0.2,0.8,0.680719786587643,5,0,3
"angular/angular.js",10,318,3281,57020,0,0.556288468931037,0,3,5,0,0.666666666666667,0.666666666666667,0.661653627722234,2,0,3
"angular/angular.js",11,14,3312,57253,0,0.71115416830336,2,3,4,0,0,0.2,0.666666663282227,5,0,1
"angular/angular.js",14,277,3340,57418,0,0.282703219397714,2,2,47,0,0,0,0.430877195767452,1,0,1
"ansible/ansible",18,69,25,4192,0,0.807979761840852,76,11,43,0,0.183673469387755,0.877551020408163,0.858029121041288,49,0.714285714285714,5
"ansible/ansible",23,63,55,4454,0,0.705073501536645,51,16,62,0,0.340425531914894,0.914893617021277,0.714272852466482,47,0.680851063829787,8
"ansible/ansible",13,42,86,4658,0.113207547169811,0.691657191124355,21,12,38,0.135135135135135,0.162162162162162,0.783783783783784,0.701626279914995,37,0.837837837837838,5
"ansible/ansible",25,51,116,4784,0.0113636363636364,0.798270294048725,45,19,52,0.0192307692307692,0.115384615384615,0.846153846153846,0.800267079217168,52,0.730769230769231,12
"ansible/ansible",27,103,147,4933,0.0841121495327103,0.674778154507753,62,24,106,0.131578947368421,0.144736842105263,0.842105263157895,0.758074865054657,76,0.671052631578947,9
"ansible/ansible",26,98,178,5057,0.472602739726027,0.661926911327217,108,25,117,0.567307692307692,0.144230769230769,0.894230769230769,0.608130554167887,104,0.826923076923077,2
"ansible/ansible",27,220,208,5176,0.657276995305164,0.748291011266417,148,28,175,0.782312925170068,0.0612244897959184,0.687074829931973,0.546003405652401,146,0.794520547945205,9
"ansible/ansible",20,119,239,5277,0.596774193548387,0.757991541820182,122,28,147,0.652173913043478,0.11304347826087,0.817391304347826,0.674044583527893,115,0.782608695652174,7
